identifier,location_id
0304cf30c5e9d6f752bdcf222a7ebf75dd055802,260
03050ed70741cac252aa11ac08cb80f8280c6370,379
030591e6ac14d9a81d1e158f1256930c3ed4fb4a,482
030d12b84d2e83d297cc651c600b8fe3dc864290,202
030fa11281a09cbb7b123257487fda41ed610948,482
0310f47d25590cf11d0e9407911c4b4c53c7d78d,119
0318dccfe379517a81056752b521dcea86f92613,441
031bd40faf9268cc79bb0000edfd7e2a86f007c4,202
03203e4c0c483b1c92d02288ba279b80461c5fe4,591
0322a567232cbb0a1a031c48cbf9376425509b24,443
032739e105c141d9f0b62d93b65303d312673d85,317
0328223aef6ba48433cb110bedc0b22df4feb338,351
032948dfc0837db194ce467b01e35d17c16faba4,49
033d8b3e2616962e6c1affb2163310c1a576a1da,518
033eca6666daf4dd9dccbf2be0283fc65d4873c7,85
03449a6f39a3d5788fc5fad869b49f760c9d08b0,468
0345e18667dcf983433befaa67781d8cc6f03b93,589
0347620ce6172307a7a1314d392a692ea4ee94cd,226
034e8faf791158e3a280d01713538704df642ba3,82
034ff902af23d856461b39d70dcd91d099654e0a,503
0354fec835d03cdcd8289d0221f85bd8bb433226,101
0355ccbbe86c1b9dffd087140a35865bf46391a4,47
035de2542d954262537b9597034ab616225bd306,141
03631e10241af095005babadd513b45970147c84,496
03632a7fc7d9aeaa61c61b1284910bfd1f1d1b6e,498
0364936eb247c098cba5051fc2682c96592cbeca,284
03679cc438943eae1c6d9f8ed1661b86b55956a0,553
036b15bcc43409ca99e58dc777fbeebf5e90f348,751
037b38271f24a5833f53c774cef670c9e916f3db,686
037f35529a21442d62a6dc4a6e30f458e189bd15,82
0385359dd642fe166e57b3329de7fb25312eb9c8,202
039143ba4aff99b82b3bcf5d180e9bbb93e6e0ce,21
039552ff0cf42c3b450b923cd3c88df31190cb5e,202
039883aa011691b2fbd0fc9d95fb086db3f4df18,271
039be7c3250c84d8ce9a1d8b151a4d2204380289,60
039d7a8df829ba4fff3e60c69b3faf382122c153,202
039ee50799ecebfa7c866cee1549cd45bd22fc94,41
03a22ac373103423839c104cde024a54c7893939,73
03acba425a3953ea8346515039dfc58c732792c8,82
03b09f7e79bbdfd10f4c51708c649dffbd5fadc7,202
03b246c7a0f5d140d20a7c9b9e64244c6bce6fc1,482
03b516a16d32bf1677906bfc017248b86e63a3d9,441
03b61ffc58847f9e72b8056465cbae64ceb4cca9,758
03b9d1043cd01407baa472e463b1fede1510f493,202
03c3d71dcf1df41f1fca1ff6f83d0bfc8256a935,202
03c604fdbc4d550cd3e437af4a606767eb355e65,560
03c7dd1f3fa84ed098375dfa9d940520c82e0134,351
03cb67fbb883b93f6ccbe84da5b1399a19925f5b,638
03cb7bd2eb19de6eca5dd7a37ba15254a122bbf4,421
03cc5a0603e6aa27a57e92853b0e1344a77d945f,21
03cd09730c89477bd9a38dc82595c99338986dc9,485
03ce298301909c34ec15102559f6deb3314b672b,79
03d4319a42eb6692f82732435e5b1c2429020a6b,485
03d7368e85698da525db8bde8dda04b8547a29af,655
03dbe2f62eceb3cf0f950ce20072836a43a98cbb,332
03e0571e072e3303e8789729599c80496f2994e4,47
03e5a4509aeee14a14431c4c38f6b4dd2fab6377,688
03e6258f1906ece5f20df7e7654b741000dc61f4,79
03ea923a74ba3312b5fb97a40c9eeef555c99bd3,46
03eeef84814c31250ae193c7dd6941c21fe5bbb2,21
03f0686ead7dd68857c61ecfb8aa332e8dfa65d8,202
03f0aca6f961b026ac32b76a3c195fc11c56cce9,512
03f17b79bce47b57874acec1dea9350ebd4e49c2,67
03f17d04cfa3dffe1e0d187e8d502f19e1800ef6,63
03f5962654cf19c858beddfb9f6e93d3ed4f363b,67
03f781c2205c322163cf6159d72d03bac3e7aa65,63
03f9debdecf21a03087d7c962296abf77f16333a,141
03feb11515afd5b592bea328e4e4bff26c401dc1,685
0400c4163489f3ef65a1cefc569cb3d48cdd8d66,341
0402cfb08f55ee0dcb4c91bdcfff9974e6c45c2b,569
04039bbde53f3fb2218a871104bd2de7335827c6,594
04051592b0e239b92bb9eaaa0d46cdec8b23e54d,102
04066e68b1928a74b209afc06832e0b825573cb0,365
04068c3131418a3b35fa732686f9c4400bb16c09,174
0413fe088d3c1ac0c1d33e20631897e898904d93,733
041a615295fdf41860994301a71f3b52994a3ae0,21
0421158cfd87a43d49a82b6a1423b1c092219f76,379
042274bb23427069912ed8b434520cbb953a3bf9,92
04230638b8858a25f3c14675014f40e24edb91fb,109
0424bd014ffa2b47aad094696d2b475314dec9c6,73
042ce5aed9922a91957a6b0af978cb88d51a6dfb,332
043aa00a35712b6c9ee7af939d207c3278f0090d,379
043ed5a707943e3673d88962ea3989ded1407a0b,655
04412aca6c77bb3ae21cf14e9a6d06aee1531718,21
04443974b33693396261eb03382595603816b647,202
0444b53200a98c93ec0ffc5ae121232773f3066f,431
0450687c0641469398085b0ae74a4dbccd71d85a,696
045b95fbdc56a8c418f51167f3fdba8bd0ba7b6a,21
045bf744961809bca41d417e5655eec1c7a54c92,544
04652e6f85175f36f4b5134ab74d6e3443998cf3,43
046612ed90ffcaf02a02c1d4dc1afd4b16c62add,525
046850d77e4f8a4117e0c0c37f17b66d194d104a,202
046a9fc919e60108a151dd4f5dd2df2b0196efc7,676
046b64e19f18264c2232a455b52bcfcd3d669f4e,552
04702848cd1fdf39190a557e1c11e53e83193655,21
0472b40a489f1095a18e09d0b62692b3cd008c77,603
04776224a0fa53a06468b9934731d9251c1bcee0,341
0486e583bcb0fb219d68795a4e5977446ccd9b87,237
0489b657393e4f9f84ae8368e61545f689beed04,717
048dd6e35bafbd993ddc7c780e072419380df9bc,21
049aa83f26890adefec520e721dae6661fac0e85,330
049b66b6cf3e362d2f7d597222f81915004f234d,679
049d15b81643ef59c2eea8b14cd51a6ae113b7b5,63
04a1956e901ebb1be1d3fe9672c450880e56880d,210
04a3013fa6d0eca6828f223889249ca3d34981e9,202
04a328a09531f6d8b12e138e4f92161053cf9c9b,251
04a7d5dc992b75a2ad2d79b0bb9c3a30917e33cd,87
04a973a901b3160b22e4bc7e60557eefc1d45bd2,700
04b5414f09cc2705c5f5d78a0f4351e5b0b7312c,655
04b626ce88cbaf46a1edff16549b95362037e8a0,281
04b6d0e6806ac08a66ae8fbf48b5f8dba748eeea,775
04c3e1ba523fc061ae921dcf27d3c72fb039bc91,332
04c9562da2b974ff0e9be4339e2e97a516887041,133
04d05c15c37cfa1ec8af6bb5f6f94d0145868439,59
04d84d174a95b39fa90f9af9885db7047937a902,250
04dd88f42b1557e2f07975673735be76fbc991b6,479
04e7bb5ecce6bf88c13884699f5494b9a6bda371,87
04eaed6e232f045e9eeb958d9045dfc166b53a37,54
04f4de398f6bc18cfc7f287b15432e035d12747e,654
04f4de51e2bf33f7a4cfa530714a9d9f62959d4e,67
04f5e65d37ae6ba997a368558c395988f69c0977,202
04ff7944504def97e5de5600203190c168582a30,565
050249cb36af3ec4cb76abd5c045c94697bdf503,49
05031525835f4ad6ebf2b270db53efb7b01de0aa,314
0505a611727e23fb94ec3fa7b76c30f3974d20b6,118
050ddbc0be98dee9e6f992ddec7ee85e16b89900,692
0514de1d05bc2daae97afb8a8e0d2fdf345e428b,202
052670c28bb15543081440da0b612e5bf3c26a4a,327
05332f070d7de565dc0e77f4fa000feaa134f0d3,168
054573f58e357b8b60e17025f5444a289e723f44,202
0545fbca27e13762a63363b2d2344633d388ccfc,131
054b228c3b04db9b82ecdb91d2d9f148edb5e879,18
054f4054c4ff95b5b00483e8231a5a27803d7c2b,46
0551d3d0447304526602f524e127f51006bb4f20,21
0553c058872df0ae5ade51255ec2a9e4361d005a,681
05604e99345278f2ee4f40f6ba6c89195b3cbb34,409
05644185225aab54c46b8ba6823defddb1db1041,372
056cb3b397939175d10df37e67060cf623e3fdb1,202
056cfd0fb8bc08731d649ec8b79dcceaec218d5b,675
0578e1ae9b484f7112fcc050fb0cc924401e6620,141
057934fd6e70b526d9cf2d1424352791c7b906d3,503
0582e77a4da8b668ccedf1e10fcb5da9e1198081,21
0589b0baa97c713a48deff528dd7de54636dff14,35
058c6184f8d736111f57f310c3d41530f4e4e722,415
058eba39af3ceaa3ee2a7b5f3e977c52418576f0,698
058fe2370ecd26a00bb7e9b5f5576f459f21f6f2,292
0595a8b02ee4f1e3a62c387dc76c118a0c07a42c,603
0595e13b02b4ece518de6c48e7e8a65092fa3d4d,766
059ee3e73843b932e4b2af2e0c96cdc1ae4119f3,572
05a57e37b6287139e0f74b8e8445cfc1cc0b43c6,282
05a6feb71edd7abe3e830a1c64b0173023a17415,17
05ad7ddc57cd3593dcbe1abccb329fa8b0efdfd1,619
05aeb7c9ee8ebe3705e10f96056fe00e00393d45,688
05b052fe776cb6a1412935b8bde167144f7a3163,168
05b15d53e0df44dfa06eb22449ca18c9dfe377d6,291
05b53f11f0af74207228fdb15b10f376cd7ccfd5,565
05ba79edb995ca0bf0e10ea520179065273bd5f0,602
05bbd70aa19104fe5383913c09b6fc4aeab5414d,685
05c0fef9603d7f13f2920816261cd27462e9e720,622
05c510915e040427b426794016e0ea61e891bb58,90
05c621ca50ac6be3e9a5132ba21cde2eda79e0d5,251
05d0560ab52d89285a0366be229946fed78788b9,330
05d0c680aad94ca9ddd7760d9df56e679ac8f0a0,495
05dc83030d0ffb47098dd1248a02a346029b52ae,677
05decd4b4a3a61d7ff5b1cf8421af9fbac67be94,369
05defae0d23753b79f99b7f1542161dc5647fb2c,677
05e047a92d311fba2edcc02e1d4ceede6ea8fccf,552
05e0bed711c896593934fff10fd371a8e2563a19,141
05e3bc695b48e7ace69db90f116129214fad0cb2,202
05e460a20a7f5d65bda47895d538732003cc6f92,202
05e9638f8aa002136ed48054be83e8afab831889,326
05ef7b4e5c94896f6c5517c5c2c30c1e78617856,602
05f412a70df055224235b6da019880863dbc5cb1,236
0604ae67ff8074c0c17ac5d5a2588e6356162e92,21
0609af067f3c4d33e62a39ede83ee12db33631da,21
0609eea2b718e357023644b137b82e9d3273975c,45
060bc76a11fe0684a07cde3d60cf63eb377483c3,1
