identifier,model,country,province_state,CityRev,Latitude,Longitude,readable_city,Selected_Source,building_type_pre,floor_area_sqft,number_floors,building_age_yrs,number_occupants,allow_comp_with_aux,has_electric,has_heatpump,number_remote_sensors,ASHRAE,CA_Title24_Zone,geometry,GEOID_place,NAME_place,LSAD_place,GEOID_county,NAME_county,STATEFP_county
88f38a03f7aee2fce484d55aa4bd114a733ddb90,ecobee3,US,CA,Elk Grove City,38.414621,-121.384961,Yes,census.gov,Row House,3500,2,15,2,False,False,False,"1, 2",3B,12,POINT (-121.384961 38.414621),622020.0,Elk Grove,25.0,6067,Sacramento,6
891a6f47302be3634a269d374fec047be648d28b,ecobee4,US,CA,Piedmont City,37.822545,-122.230024,Yes,census.gov,Townhouse,2500,4,0,0,False,False,False,"2, 3, 4",3C,3,POINT (-122.230024 37.822545),656938.0,Piedmont,25.0,6001,Alameda,6
8935610184c677c0ddf730f3c5e464e704ebb9e8,ecobee4,US,CA,Shingle Springs CDP,38.665855,-120.936208,Yes,census.gov,Other,2000,1,30,0,False,False,False,"1, 2",4B,12,POINT (-120.936208 38.665855),671554.0,Shingle Springs,57.0,6017,El Dorado,6
89846759cfd2bef37fde40277f0ffeb8086e236a,ecobee3Lite,US,CA,Imperial City,32.838801,-115.572012,Yes,census.gov,Null,0,0,0,0,True,False,False,"1, 2",2B,15,POINT (-115.572012 32.838801),636280.0,Imperial,25.0,6025,Imperial,6
89d3345d393bd08d79922cc914c6f5adf712a1ea,ecobee3,US,CA,Studio City,34.05201125,-118.4125118,Yes,photon,Detached,2500,1,65,4,False,False,False,"1, 2",3B,9,POINT (-118.4125118 34.05201125),644000.0,Los Angeles,25.0,6037,Los Angeles,6
89d95625ecd00745765deda95a336a4acf090e43,SmartSi,US,CA,Laguna Niguel City,33.528654,-117.701253,Yes,census.gov,Detached,1906,2,0,0,False,False,False,0,3B,6,POINT (-117.701253 33.528654),639248.0,Laguna Niguel,25.0,6059,Orange,6
89dabf28aaafe348d6094a4d83f6ccaded407037,ecobee3Lite,US,CA,Roseville City,38.770296,-121.319634,Yes,census.gov,Other,3500,2,7,3,False,False,False,"3, 6",3B,11,POINT (-121.319634 38.770296),662938.0,Roseville,25.0,6061,Placer,6
8a81fa0489fb311982f7fa707e8612b3808cd6f2,ecobee3,US,CA,San Diego City,32.830391,-117.120923,Yes,census.gov,Detached,2200,2,0,0,False,False,False,"1, 2",3B,7,POINT (-117.120923 32.830391),666000.0,San Diego,25.0,6073,San Diego,6
8ab33bf32b3354145c58b9dbef5fd8057fb7e696,ecobee3,US,CA,El Dorado Hills CDP,38.676082,-121.0477,Yes,census.gov,Detached,2500,2,5,2,False,False,False,"1, 2",4B,12,POINT (-121.0477 38.676082),621880.0,El Dorado Hills,57.0,6017,El Dorado,6
8b04ea94f67a32c6b8ff40043cec44c1f8f3ff1b,ESTWVC,US,CA,Azusa City,34.138524,-117.912253,Yes,census.gov,Detached,2001,2,10,0,True,False,False,"3, 6",3B,9,POINT (-117.912253 34.138524),603386.0,Azusa,25.0,6037,Los Angeles,6
8b220ad6ccfb0adbaa5ff23e13d2b70dcb3edcab,ecobee3,US,CA,Big Bear Lake City,34.242888,-116.893893,Yes,census.gov,Townhouse,1500,1,15,3,False,False,False,"3, 6",3B,16,POINT (-116.893893 34.242888),606434.0,Big Bear Lake,25.0,6071,San Bernardino,6
